en,cn,count,r18
clavicle,锁骨,448824,0
panties,内裤,442366,1
pantsu,内裤,442366,0
monochrome,单色的,421271,0
tail,尾巴,416809,0
jacket,夹克,414708,0
translated,已翻译,410792,0
swimsuit,泳衣泳装,408060,0
full body,全身,396148,0
closed eyes,闭上眼睛,394458,0
hair ribbon,发带,393021,0
kantai collection,舰队收藏,390570,0
yellow eyes,黄色的眼睛,385114,0
weapon,武器,374638,0
ponytail,马尾辫,373553,0
upper body,上半身,370538,0
purple hair,紫色头发,369812,0
ass,屁股,366636,1
pink hair,粉红色的头发,366148,0
white shirt,白衬衫,364421,0
comic,漫画,362267,0
braid,麻花辫子,359094,0
flower,花,356472,0
ahoge,呆毛,351749,0
:d,:D 表情,334875,0
short sleeves,短袖,333964,0
hair bow,发髻,332667,0
greyscale,黑白风格,332310,0
hetero,异性恋的,327824,0
white hair,白发,320446,0
male focus,男性焦点,319559,0
male,男性,319559,0
female,女性,319559,0
heart,心,311429,0
pantyhose,连裤袜,306703,0
bikini,比基尼,304061,0
sidelocks,鬓发长刘海发型,295954,0
nude,裸体,293758,1
thighs,大腿,293653,0
red hair,红头发,290725,0
cowboy shot,牛仔镜头/美式镜头,288183,0
pleated skirt,百褶裙,287179,0
sweat,汗滴水珠,286164,0
hairband,发箍,284995,0
translation request,翻译请求,283752,0
small breasts,贫乳平胸,280946,1
earrings,耳环,280421,0
multicolored hair,五彩的头发,279707,0
boots,靴子,278884,0
lying,躺,269737,0
censored,审查,266107,0
grey hair,灰发,265804,0
frilled,褶边,263037,0
frills,褶边,263037,0
parted lips,张嘴,258771,0
detached sleeves,分离式袖子,257851,0
one eye closed,一只眼睛闭着,256767,0
outdoors,户外,256217,0
food,食物,255326,0
japanese clothes,日本衣服,252160,0
exquisite cloth,精致的衣服,252160,0
multiple boys,多个男孩,247835,0
green hair,绿色的头发,247581,0
wings,羽翼翅膀,246750,0
open clothes,解开衣服,244122,0
sky,天空,241306,0
necktie,领带,240752,0
horns,犄角,238138,0
penis,阴茎,236205,1
shoes,鞋子,235952,0
fate (series),命运（系列）,232867,0
glasses,眼镜,230705,0
barefoot,裸足,225387,0
shorts,短裤,224615,0
serafuku,水手服(学生装),220443,0
pussy,外阴,217981,1
teeth,牙齿,216171,0
day,白天,212348,0
solo focus,独奏焦点,212179,0
sleeveless,无袖的,211023,0
choker,项圈,209835,0
alternate costume,替代服装,209307,0
tongue,舌头,208809,0
pointy ears,尖耳朵,202516,0
socks,袜子,202362,0
black gloves,黑色手套,199776,0
elbow gloves,长手套,195056,0
hairclip,发夹,194174,0
fang,獠牙,191398,0
striped,有条纹的,188474,0
midriff,上腹部,187765,0
puffy sleeves,蓬松花瓣袖,184313,0
shiny,有光泽的,182139,0
looking back,看向后方,181185,0
belt,腰带,179901,0
sword,剑,177281,0
collared shirt,有领衬衫,174204,0
official art,官方艺术,173824,0
pants,裤子,172653,0
cloud,云,171401,0
artist name,艺术家姓名,170047,0
silver hair,银发,169353,0
black thighhighs,黑色长筒袜,167338,0
tears,流泪,165102,0
fate/grand order,命运/冠位指定,164452,0
indoors,室内,163949,0
cat ears,猫耳朵,163860,0
nekomimi,猫耳朵,163860,0
white gloves,白色手套,161364,0
3girls,3个女孩,159570,0
hair flower,发花,158085,0
virtual youtuber,虚拟 YouTuber,157796,0
signature,签名,157192,0
dark skin,深色皮肤,156013,0
hand up,举手,155346,0
spread legs,张开双腿,153846,0
cum,射,153452,1
2boys,2个男孩,152087,0
hood,兜帽,151133,0
idolmaster,偶像大师,150970,0
sex,性相关,150267,1
miniskirt,迷你裙,149972,0
wide sleeves,宽袖,149085,0
tongue out,舌头伸出,148559,0
fingerless gloves,无指手套,148164,0
on back,仰面朝天,148125,0
blunt bangs,钝刘海,146215,0
black skirt,黑色裙子,145935,0
bowtie,蝴蝶领带,145915,0
armpits,腋窝,145624,0
pink eyes,粉红色的眼睛,144875,0
sailor collar,水手领,142722,0
kimono,和服,141475,0
english commentary,英文评论,141156,0
black legwear,黑色紧身裤袜,140642,0
pokemon,宠物小精灵,139428,0
medium hair,中等头发,139120,0
water,水,137475,0
grey background,灰色背景,135897,0
necklace,项链,134647,0
chibi,Q版小人,131479,0
off shoulder,露肩,131366,0
bag,包,130852,0
hair bun,发髻,130235,0
clothes lift,把衣服掀起来,130127,0
scarf,围巾,129645,0
cape,斗篷,129597,0
from behind,从后面,129444,0
from back,从背面,129444,0
star (symbol),星（符号）,129280,0
floating fluttered little stars,飘动的星星,129280,0
twitter username,推特用户名,127746,0
bra,文胸,127486,0
yuri,女同百合,127253,0
lesbian,女同,127253,0
lesbian sex,女同爱,127253,1
stomach,肚子,127212,0
nail polish,指甲油,126690,0
sweatdrop,汗珠,126017,0
orange hair,橙色头发,125378,0
armor,盔甲,125241,0
white dress,白色连衣裙,125227,0
holding weapon,持有武器,124826,0
black footwear,黑色鞋类,124749,0
white panties,白色内裤,124171,1
rabbit ears,兔耳朵,123685,0
mole,痣,120941,0
uniform,制服,120421,0
hair over one eye,一只眼睛上的头发,120191,0
grin,露齿笑,120043,0
:o,嘴张成o型,119305,0
huge breasts,巨乳,118350,1
character name,人物名称,118123,0
black eyes,黑眼睛,117823,0
apron,围裙,117739,0
blurry,虚化的,117649,0
looking at another,看着另一个,115571,0
vest,背心,114194,0
black dress,黑色连衣裙,112102,0
high heels,高跟鞋,111663,0
arm up,举起手臂,111522,0
twin braids,一对麻花辫,111295,0
vaginal,露阴道小穴,111263,1
vaginal masturbation,自慰阴道,111263,1
vaginal fingering,手指抚弄小穴,111263,1
mosaic censoring,马赛克审查,111160,0
red bow,红色蝴蝶结,110998,0
flat chest,平胸,109719,0
arms up,举起手臂,109138,0
side ponytail,侧马尾辫,108736,0
shiny hair,有光泽的头发,108666,0
bracelet,手镯,108516,0
covered nipples,覆盖的乳头,108420,1
collar,项圈,108155,0
feet,脚部,105536,0
dated,附日期的,105505,0
from side,从侧面,104550,0
aqua eyes,水眼,104519,0
vocaloid,VOCALOID,104098,0
sweater,毛衣,102346,0
white thighhighs,白色长筒袜,101685,0
speech bubble,讲话泡泡,101086,0
two-tone hair,两色头发,100964,0
leotard,紧身连衣裤,100609,0
red ribbon,红丝带,99774,0
two side up,两侧向上,99506,0
english text,英文文本,98580,0
dark-skinned female,黑皮肤女性,98558,0
sketch,素描,98068,0
tree,树,97967,0
open jacket,敞开的夹克,97835,0
cup,杯子,97621,0
lips,嘴唇,97013,0
blue sky,蓝天,96958,0
puffy short sleeves,蓬松短袖,96708,0
zettai ryouiki,绝对领域,95992,0
blue skirt,蓝色裙子,94360,0
hololive,hololive,92990,0
by Thomas Kinkade,托马斯·金凯德,92680,0
groin,腹股沟,92601,0
fingernails,指甲,91575,0
coat,外套,91458,0
wet,湿漉漉的,91360,0
cat tail,猫尾巴,90731,0
bad twitter id,错误的推特 ID,90514,0
v-shaped eyebrows,V字眉,90092,0
white legwear,白色紧身裤袜,89878,0
head tilt,头部倾斜,89696,0
neckerchief,领巾,89678,0
black jacket,黑色夹克,88817,0
streaked hair,条纹头发,88765,0
official alternate costume,官方备用服装,88751,0
genshin impact,原神,88692,0
nahida,原神纳西妲,88692,0
see-through,透视,88588,0
orange eyes,橙色眼睛,87500,0
azur lane,碧蓝航线,87494,0
hand on hip,手放在臀部,87408,0
gradient,渐变色的,87228,0
gun,枪,87224,0
shiny skin,有光泽的皮肤,87001,0
crop top,裁剪上衣,86661,0
sitting on edge,坐在边缘,46661,0
idolmaster cinderella girls,偶像大师灰姑娘女孩,86230,0
wrist cuffs,手腕袖口,85732,0
pillow,枕头,85546,0
book,书,85505,0
animal ear fluff,动物耳朵绒毛,85383,0
artist request,艺术家请求,85122,0
plaid,格子图案,84719,0
torn clothes,撕破的衣服,84717,0
maid,女仆（装）,84584,0
maid dress,女仆裙,84584,0
sleeves past wrists,袖子过手腕,84578,0
looking to the side,看向一边,84061,0
by Vincent Van Gogh,文森特·梵高,83760,0
kneehighs,及膝袜,83452,0
military,军队,83360,0
grey eyes,灰色的眼睛,83330,0
sash,饰带,83198,0
by Leonid Afremov,列昂尼德阿夫列莫夫,83120,0
parted bangs,分开的刘海,83043,0
pokemon (game),宠物小精灵（游戏）,82623,0
maid headdress,女仆头饰,82494,0
legs,美腿,82346,0
petals,花瓣,81946,0
flying petals,飘飞的花瓣,81946,0
fluttered,飘飞的,81946,0
cosplay,Cosplay,81666,0
black panties,黑色内裤,81380,1
black pantyhose,黑色连裤袜,80852,0
fur trim,皮草饰边,80600,0
bare arms,光着膀子,80571,0
by Claude Monet,克劳德·莫内,80330,0
pubic hair,阴毛,80147,1
hands up,举起手来,80031,0
one-piece swimsuit,连体泳衣,79851,0
gradient background,渐变背景,79339,0
symbol-shaped pupils,符号形瞳孔,79265,0
fox ears,狐狸耳朵,79230,0
loli,萝莉,79155,0
kawaii,可爱的,79155,0
cute,可爱的,79155,0
ascot,领巾状领带,78975,0
short shorts,短裤,78945,0
dutch angle,荷兰角,78264,0
clothing cutout,服装镂空,77114,0
black shirt,黑色衬衫,76355,0
eyelashes,睫毛,76065,0
open shirt,敞开的衬衫,75886,0
bare legs,裸腿,75490,0
no humans,没有人类,75368,0
dress shirt,礼服衬衫,75140,0
lowres,低分辨率,75101,0
sparkle,闪亮,74901,0
bar censor,酒吧审查员,74745,0
kneeling,跪着,74644,0
window,窗户,74545,0
by Edward Hopper,爱德华·霍珀,74390,0
mole under eye,眼睛下方的痣,74189,0
pokemon (creature),宠物小精灵 (生物),73845,0
4girls,4个女孩,73692,0
single braid,单个麻花辫,73265,0
hug,拥抱,73019,0
bodysuit,性感紧身衣,72934,0
v,v手势,72590,0
no bra,不穿胸罩,72480,0
sleeveless shirt,无袖衬衫,72199,0
bell,铃铛,72065,0
saliva,唾液口水,71940,0
double bun,双丸子头发型,71791,0
strapless,无肩带的,71663,0
aqua hair,水色头发,71586,0
uncensored,无码,71026,0
military uniform,军装,70886,0
black ribbon,黑丝带,70831,0
black headwear,黑色头饰,70413,0
bed,床,70378,0
md5 mismatch,md5 不匹配,70020,0
blood,血液,69756,0
scan,扫图,69705,0
hatsune miku,初音未来,69521,0
4koma,四格漫画,69167,0
hoodie,连帽衫,69086,0
sideboob,侧乳,68975,0
pussy juice,汁液,68315,1
profile,个人侧面照,68308,0
completely nude,一丝不挂,68276,1
covered navel,覆盖肚脐,67835,0
black bow,黑色蝴蝶结,67833,0
makeup,梳妆打扮,67812,0
tattoo,纹身,67596,0
skindentation,勒肉,67546,0
leaning forward,身体前倾,67471,0
neck ribbon,颈带,67406,0
by Norman Rockwell,诺曼·洛克威尔,67170,0
muscular,肌肉发达,66550,0
no panties,没有内裤,66463,1
thigh strap,大腿绑带,66443,0
mask,面具,66402,0
capelet,披肩,66285,0
gradient hair,渐变头发,66046,0
multiple views,多个视图,66006,0
witch,女巫,65903,0
witch hat,女巫帽,65903,0
octagon hat,八角帽,65903,0
by William-Adolphe Bouguereau,威廉·阿道夫·布格罗,65810,0
copyright name,版权名称,65520,0
36951.0005,36951.0005,65286,0
anus,肛门,65143,1
alternate hairstyle,备用发型,65097,0
fruit,水果,65018,0
underboob,下乳/南半球,64917,0
by Albert Bierstadt,阿尔伯特·比尔施塔特,64650,0
arknights,方舟骑士,64431,0
detached collar,分离式衣领,64173,0
depth of field,景深,63851,0
headband,头巾,63842,0
night,夜晚,63537,0
sleeveless dress,无袖连衣裙,63474,0
buttons,纽扣,63404,0
hair blowing,吹头发,63375,0
^ ^,^ ^,63335,0
by John Singer Sargent,约翰·辛格·萨金特,63250,0
cameltoe,私处线条,63116,1
copyright request,版权请求,62862,0
side-tie bikini bottom,侧系带比基尼泳裤,62460,0
blue dress,蓝色连衣裙,62423,0
fox tail,狐狸尾巴,62288,0
cum in pussy,射在外阴,62240,1
commission,约稿,62159,0
bottomless,裸下半身,61779,0
toes,脚趾,61770,0
black bikini,黑色比基尼,61637,0
shadow,阴影,61569,0
nose blush,鼻腮红,61416,0
glowing,发光的,61371,0
red skirt,红裙子,60921,0
blurry background,模糊的背景,60868,0
rose,玫瑰,60714,0
feet out of frame,脚出框架,60503,0
hakurei reimu,博丽灵梦,60243,0
headgear,头戴物,59789,0
holding hands,牵手,59730,0
bed sheet,床单,59661,0
fake animal ears,假动物耳朵,59603,0
swept bangs,扫刘海,59590,0
chain,链子,59553,0
facial hair,面部毛发/胡子,59371,1
6+girls,6+女孩,59289,0
siblings,兄弟姐妹,59157,0
turtleneck,高领套头衫,58998,0
bird,鸟,58948,0
birds,鸟,58948,0
headphones,耳机,58922,0
ocean,海洋,58865,0
colored skin,有色皮肤,58337,0
arm support,手臂支撑,57821,0
umbrella,雨伞,57600,0
heterochromia,异色瞳孔,57451,0
low twintails,低双马尾,57330,0
halter top,露背上衣,57289,0
animal,动物,57258,0
frown,皱眉,57025,0
beret,贝雷帽,56988,0
thigh boots,大腿靴,56543,0
leaf,叶子,56348,0
embarrassed,尴尬窘迫的表情,56127,0
pov,第一人称视角,55849,0
one side up,一面朝上,55727,0
back,背后,55550,0
kirisame marisa,雾雨魔理沙,55498,0
on bed,在床上,55392,0
from above,从上面,55370,0
garter straps,吊袜带,55251,0
watermark,水印,55190,0
white headwear,白色头饰,55179,0
ass visible through thighs,屁股通过大腿可见,55126,1
fangs,獠牙/虎牙,54947,0
blue background,蓝色背景,54522,0
non-web source,非网络来源,54429,0
transparent background,透明背景,54045,0
highleg,高开叉,53992,0
white bikini,白色比基尼,53835,0
on side,在旁边,53819,0
plaid skirt,格子裙,53804,0
scar,伤痕,53803,0
mahou shoujo madoka magica,mahou shoujo madoka magica,53576,0
traditional media,传统媒体,53516,0
mouth hold,嘴巴叼着,53479,0
wariza,鸭子坐,53449,0
parody,模仿,53372,0
beach,海滩,53281,0
chair,椅子,53119,0
wavy hair,卷发,52960,0
blue bow,蓝色蝴蝶结,52864,0
hair tubes,发管,52839,0
facial mark,面部标记,52739,1
bandages,绷带,52668,0
looking away,看着别处,52630,0
upper teeth,上牙,52615,0
banned artist,被禁止的艺术家,52523,0
female pubic hair,女性阴毛,52496,1
blush stickers,腮红贴,52383,0
drill hair,公主卷发型,52114,0
shirt lift,掀起衬衫,52073,0
expressionless,面无表情,51941,0
chinese clothes,中式服装,51778,0
black choker,黑色项圈,51660,0
obi,带子,51415,0
grabbing,抓,51301,0
brown footwear,棕色鞋类,51265,0
arms behind back,手臂在背后,51102,0
eating,吃饭,51025,0
pantyshot,看见内裤的,50634,0
no shoes,没有鞋子,50575,0
clothes pull,拉扯衣服,50568,0
topless,袒胸露乳,50567,1
holding sword,持剑,50491,0
heart-shaped pupils,心形瞳孔,50359,0
thigh gap,大腿间隙,50310,0
thick thighs,丰满大腿,50210,0
short dress,短裙,49854,0
soles,脚底/脚掌,49822,0
looking down,向下看,49698,0
fire emblem,火徽,49626,0
skirt lift,掀起裙子,49608,0
phone,电话,49572,0
magical girl,魔法少女,49541,0
eyepatch,海盗眼罩,49445,0
stuffed toy,毛绒玩具,49145,0
floral print,花卉印花,49135,0
floral print pantyhose,印花裤袜,49135,0
bound,绑缚,49082,0
wavy mouth,波浪嘴,48870,0
crossed arms,双臂交叉,48735,0
flying sweatdrops,飞行的汗珠,48735,0
girls und panzer,女孩和装甲,48696,0
symbol-only commentary,仅符号评论,48685,0
love live!,爱生活！,48342,0
hair intakes,头发摄入量,48335,0
black shorts,黑色短裤,48229,0
border,边框,47983,0
playboy bunny,花花公子兔子,47981,0
moon,月亮,47961,0
formal,正式的,47928,0
piercing,穿孔,47876,0
abs,腹肌,47603,0
cover,封面,47435,0
leg up,抬起腿,47385,0
sandals,凉鞋,47225,0
from below,从下面,47088,0
half-closed eyes,半闭眼,46959,0
cleavage cutout,乳沟切口,46944,1
sunlight,阳光,46896,0
erection,勃起,46853,1
table,桌子,46792,0
single hair bun,单发髻,46753,0
black pants,黑色裤子,46570,0
oral,口交,46314,1
happy,开心,46225,0
red dress,红色连衣裙,46215,0
cat,小猫咪,45864,0
by Pierre-Auguste Renoir,皮埃尔·奥古斯特·雷诺阿,45840,0
underwear only,只穿内衣,45663,1
no underwear,不穿内衣,45663,1
squatting,蹲着,45575,0
scrunchie,发束,45426,0
pink background,粉红色背景,45380,0
school swimsuit,学校泳装,45255,0
sunglasses,太阳镜墨镜,45181,0
testicles,睾丸,44794,0
bdsm,性虐待,44705,1
cum on body,射 上 body,44658,1
blazer,徽章夹克,44278,0
mob cap,暴民帽,44254,0
trembling,颤抖,44229,0
by Frida Kahlo,弗里达·卡罗,44030,0
white footwear,白色鞋类,43972,0
dark-skinned male,深色皮肤的男性,43966,0
ring,戒指,43793,0
wedding ring,婚戒,43793,0
sleeping,睡觉,43667,0
game cg,游戏cg,43512,0
coyote ears,土狼耳朵,43418,0
by John William Waterhouse,约翰·威廉·沃特豪斯,43110,0
backpack,背包,43071,0
standing on one leg,单腿站立,42954,0
lingerie,贴身内衣裤,42912,1
knee boots,及膝靴,42856,0
eyes visible through hair,透过头发可见的眼睛,42816,0
hat ribbon,帽子丝带,42795,0
final fantasy,最终幻想,42764,0
halo,头顶的光环,42671,0
partial commentary,部分评论,42573,0
light brown hair,浅棕色头发,42522,0
breast grab,抓奶抓胸,42513,1
katana,武士刀,42464,0
stuffed animal,毛绒玩具,42399,0
thick eyebrows,浓眉,42316,0
bob cut,鲍勃切,42315,0
girls' frontline,少女前线,42259,0
bat wings,蝙蝠翅膀,42233,0
cardigan,羊毛衫,42169,0
;d,;D,42130,0
demon girl,恶魔少女,42126,0
korean commentary,韩国评论,42043,0
crossed legs,翘二郎腿,41965,0
frilled dress,荷叶边连衣裙,41914,0
suspenders,吊带,41898,0
chinese commentary,中文评论,41882,0
white skirt,白色裙子,41774,0
by Winslow Homer,温斯洛·霍默,41750,0
remilia scarlet,remilia 猩红色,41745,0
3boys,3个男孩,41679,0
helmet,头盔,41554,0
white jacket,白色夹克,41329,0
by Walt Disney,华特迪士尼,41300,0
antenna hair,天线毛,41238,0
hood down,放下兜帽,41152,0
cloudy sky,多云的天空,41126,0
beautiful detailed sky,漂亮的天空,41126,0
outstretched arms,伸出双臂,41102,0
cellphone,手机,40792,0
polka dot,圆点,40714,0
cross,十字架/交叉,40680,0
by Thomas Moran,托马斯·莫兰,40670,0
by Phil Koch,菲尔·科赫,40670,0
crying,哭泣,40666,0
tank top,背心,40630,0
bottle,瓶子,40473,0
bug,虫子,40384,0
5girls,5个女孩,40374,0
undressing,脱衣服,40362,0
grass,草,40318,0
crossover,联动,40269,0
by Paul Cézanne,保罗·塞尚,40230,0
by Paul Hedley,保罗·亨德利,40230,0
fire,火,40058,0
bent over,弯腰/俯身,40036,0
crown,王冠/花冠,40020,0
feather,羽毛,39951,0
feathers,羽毛,39951,0
suit,正装,39879,0
by Camille Pissarro,卡米尔·毕沙罗,39840,0
tiara,冠状头饰,39809,0
light smile,浅笑,39748,0
frilled skirt,荷叶边裙,39724,0
breasts out,胸部出来,39693,1
high ponytail,高马尾辫,39623,0
knife,刀,39574,0
pectorals,胸肌,39542,0
couple,情人,39482,0
eyebrows,眉毛,39325,0
looking up,抬头看,39322,0
denim,牛仔布,39219,0
holding food,拿着食物,39208,0
own hands together,自己动手,39206,0
animated,动画,39140,0
> <,> <,39016,0
straddling,跨骑式,39016,0
hair bobbles,毛球,39015,0
x hair ornament,x 发饰,38970,0
wing collar,翼领,38875,0
white bow,白色蝴蝶结,38861,0
on stomach,趴着,38773,0
grovel,趴着,38773,0
areolae,乳晕,38762,1
by Erin Hanson,艾琳·汉森,38540,0
plant,植物,38524,0
black hairband,黑发带,38455,0
flandre scarlet,弗兰德猩红色,38441,0
blue shirt,蓝色衬衫,38268,0
tan,褐色,38222,0
lipstick,口红,38221,0
outstretched arm,伸出的手臂,38166,0
bondage,囚禁捆绑,37972,0
izayoi sakuya,izayoi sakuya,37912,0
short twintails,短双马尾,37875,0
fellatio,口交,37797,1
horse ears,马耳,37610,0
robot,机器人,37508,0
by Thomas Cole,托马斯·科尔,37350,0
precure,预固化剂,37312,0
blue ribbon,蓝丝带,37293,0
girl on top,女孩在上面,37050,0
curtains,窗帘,37044,0
curtain,窗帘,37044,0
white flower,白花,36964,0
lifted by self,自行举起,36916,0
pointing,指点,36846,0
animal print,动物印花,36825,0
monster girl,魔物娘,36706,0
polearm,长柄武器,36702,0
muscular male,肌肉男,36560,0
revision,修订版,36455,0
^^^,吓一跳,36438,0
pink bow,粉色蝴蝶结,36406,0
slit pupils,狭缝瞳孔,36340,0
juliet sleeves,朱丽叶袖,36304,0
all fours,四肢着地,36207,0
sisters,姐妹,36163,0
sister,姐妹,36163,0
sex from behind,从后面做爱,36162,1
cat girl,猫女孩,36135,0
crescent,新月,35913,0
spiked hair,尖刺的头发,35902,0
umamusume,umamusume,35858,0
granblue fantasy,碧蓝幻想,35818,0
staff,员工,35672,0
by Raphael,拉斐尔,35610,0
hand on own chest,手放在自己的胸上,35514,0
blue sailor collar,蓝色水手领,35448,0
panty pull,脱下内裤,35430,0
cherry blossoms,樱花,35318,0
frilled sleeves,褶边袖子,35060,0
blouse,女式衬衫,35058,0
sharp teeth,锋利的牙齿,35017,0
red necktie,红色领带,34985,0
?,?,34965,0
jojo no kimyou na bouken,jojo no kimyou na bouken,34893,0
cover page,封面,34556,0
blue jacket,蓝色夹克,34533,0
white kneehighs,白色过膝袜,34530,0
towel,毛巾,34506,0
clenched teeth,咬紧牙关,34443,0
shaded face,阴影面,34440,0
wind,风,34360,0
goggles,护目镜,34277,0
casual,休闲的,34253,0
bike shorts,骑行短裤,34243,0
otoko no ko,otoko no ko,34242,0
ground vehicle,地面车辆,34084,0
black background,黑色背景,34081,0
brooch,胸针,34056,0
head wings,头翼,34042,0
green skirt,绿裙子,34039,0
loafers,平底便鞋,33900,0
gauntlets,金属手套,33858,0
elf,精灵,33658,0
pink panties,粉色内裤,33658,1
no pants,没穿裤子,33627,0
fate/stay night,命运/过夜,33474,0
t-shirt,T恤,33474,0
by Steve Henderson,史提夫韩德森,33330,0
red flower,红花,33318,0
by Pablo Picasso,巴勃罗·毕加索,33250,0
black bra,黑色胸罩,33218,0
striped panties,条纹胖次,33132,1
multiple tails,多尾,33042,0
building,建筑,32940,0
wristband,腕带,32893,0
by Caspar David Friedrich,卡斯帕·大卫·弗里德里希,32890,0
shoulder armor,肩甲,32842,0
kiss,吻,32793,0
demon horns,恶魔之角,32782,0
fox girl,狐狸女孩,32711,0
between breasts,胸部之间,32633,1
breast press,压胸,32607,1
startled,吃惊,32551,0
single thighhigh,单大腿高,32501,0
messy hair,凌乱的头发,32467,0
messy long hair,凌乱的长发,32467,0
motion lines,运动线,32379,0
hat bow,帽子蝴蝶结,32288,0
sheath,护套,32130,0
butterfly,蝴蝶,32106,0
child,儿童,31959,0
kemono friends,kemono 朋友,31946,0
skirt set,裙子套装,31892,0
ribbon trim,丝带饰边,31696,0
black kneehighs,黑色过膝袜,31686,0
group sex,群交,31667,1
third eye,第三只眼,31551,0
character request,字符请求,31491,0
instrument,乐器,31468,0
rabbit tail,兔尾,31420,0
bunny tail,兔尾,31420,0
letterboxed,宽屏格式,31376,0
drooling,流口水,31371,0
clenched hand,握紧的手,31316,0
hakama,袴,31316,0
box,盒子,31213,0
sneakers,运动鞋,31150,0
pale skin,苍白的皮肤,31149,0
sex toy,性玩具,31145,1
red shirt,红衬衫,31107,0
musical note,音符,31080,0
red footwear,红鞋,31068,0
admiral (kancolle),海军上将 (kancolle),31041,0
gem,宝石,30987,0
fishnets,渔网风格服饰,30907,0
horse girl,马女孩,30889,0
tassel,流苏,30800,0
wet clothes,湿衣服/湿身,30771,0
